0,1,2,3,4,5,6,7,8,9,10,11
1143.0,5.0,2012.0,83000.0,1.0,1.0,0.0,23.0,1248.0,74.0,5.0,0.0
1204.0,7.0,2016.0,4800.0,4.0,1.0,0.0,20.0,998.0,67.0,5.0,0.0
846.0,4.0,2016.0,26000.0,1.0,1.0,0.0,25.0,1198.0,77.0,6.0,0.0
714.0,3.0,2013.0,56127.0,4.0,1.0,0.0,18.0,1197.0,80.0,5.0,0.0
472.0,6.0,2017.0,41981.0,4.0,1.0,0.0,18.0,1199.0,88.0,5.0,0.0
1156.0,1.0,2009.0,140000.0,1.0,1.0,2.0,17.0,1248.0,75.0,5.0,0.0
1135.0,5.0,2014.0,75074.0,1.0,1.0,0.0,23.0,1248.0,74.0,5.0,0.0
420.0,8.0,2011.0,60000.0,4.0,0.0,0.0,16.0,1497.0,118.0,5.0,0.0
711.0,3.0,2017.0,26185.0,4.0,1.0,0.0,18.0,1197.0,81.0,5.0,0.0
1160.0,10.0,2017.0,49224.0,1.0,1.0,0.0,25.0,1248.0,74.0,5.0,0.0
270.0,0.0,2016.0,29000.0,1.0,0.0,0.0,10.0,3198.0,197.0,7.0,0.0
1767.0,6.0,2015.0,81006.94228075631,1.0,1.0,0.0,12.0,2494.0,100.0,7.0,0.0
1140.0,1.0,2008.0,56230.0,4.0,1.0,2.0,17.0,1298.0,85.0,5.0,0.0
367.0,7.0,2013.0,46992.0,1.0,1.0,0.0,25.0,1498.0,98.0,5.0,0.0
19.0,3.0,2014.0,28469.0,1.0,0.0,0.0,18.0,1968.0,187.0,5.0,53.14
1267.0,0.0,2008.0,77000.0,4.0,0.0,2.0,10.0,2496.0,157.0,5.0,0.0
1731.0,9.0,2012.0,100000.0,1.0,1.0,3.0,11.0,2982.0,171.0,7.0,0.0
1138.0,1.0,2016.0,32000.0,4.0,1.0,0.0,19.0,1197.0,85.0,5.0,0.0
1257.0,8.0,2014.0,42000.0,1.0,0.0,0.0,14.0,2143.0,203.0,5.0,0.0
50.0,4.0,2014.0,50000.0,1.0,0.0,0.0,14.0,1968.0,174.0,5.0,0.0
170.0,6.0,2016.0,60813.0,4.0,1.0,2.0,18.0,1199.0,76.0,5.0,0.0
620.0,7.0,2014.0,19000.0,4.0,1.0,0.0,17.0,1396.0,105.0,5.0,0.0
446.0,4.0,2017.0,12538.0,4.0,0.0,0.0,18.0,1497.0,117.0,5.0,0.0
853.0,0.0,2010.0,93000.0,4.0,1.0,0.0,15.0,1390.0,75.0,5.0,0.0
914.0,3.0,2018.0,24500.0,1.0,0.0,0.0,16.0,2179.0,140.0,7.0,0.0
1687.0,6.0,2013.0,81504.0,1.0,1.0,0.0,21.0,1364.0,87.0,5.0,0.0
1466.0,7.0,2013.0,40000.0,1.0,1.0,0.0,21.0,1461.0,84.0,5.0,0.0
1035.0,7.0,2015.0,25470.0,4.0,1.0,0.0,20.0,1373.0,91.0,5.0,0.0
1081.0,4.0,2015.0,52950.0,4.0,1.0,0.0,14.0,796.0,35.0,5.0,0.0
1761.0,4.0,2010.0,109000.0,1.0,1.0,2.0,12.0,2494.0,100.0,7.0,0.0
1076.718341087957,2.0,2015.0,54000.0,1.0,0.0,0.0,17.0,2143.0,136.0,5.0,0.0
1045.0,7.0,2015.0,28193.0,1.0,1.0,0.0,28.0,1248.0,73.0,5.0,8.36
828.0,4.0,2012.0,75000.0,1.0,1.0,0.0,15.0,2523.0,62.0,7.0,10.32
438.0,7.0,2014.0,37298.0,1.0,1.0,0.0,21.293802794786302,1498.0,98.0,5.0,0.0
1099.0,9.0,2015.0,55392.0,1.0,1.0,2.0,23.0,1248.0,88.0,5.0,0.0
704.0,2.0,2012.0,70000.0,4.0,1.0,0.0,20.0,1197.0,78.0,5.0,0.0
732.0,1.0,2012.0,64000.0,2.1814281040228742,1.0,0.0,21.0,1396.0,90.0,5.0,0.0
1747.0,2.0,2014.0,194000.0,1.0,1.0,0.0,12.0,2494.0,100.0,8.0,0.0
177.0,7.0,2015.0,50000.0,1.0,1.0,0.0,19.36250458409529,1248.0,73.0,8.0,0.0
1662.0,1.0,2018.0,45000.0,1.0,1.0,0.0,22.0,1248.0,74.0,5.0,8.34
1719.0,0.0,2011.0,74000.0,1.0,1.0,0.0,23.0,1364.0,76.43223073735044,5.0,0.0
1063.0,0.0,2016.0,65263.0,0.0,1.0,0.0,17.0,1373.0,80.0,7.0,0.0
1666.0,8.0,2017.0,47000.0,4.0,1.0,2.0,17.0,1193.0,88.0,5.0,6.62
751.0,6.0,2015.0,46950.0,1.0,1.0,0.0,21.0,1396.0,88.0,5.0,0.0
495.0,0.0,2014.0,43081.0,4.0,1.0,0.0,17.0,1497.0,117.0,7.0,0.0
633.0,4.515806990349841,2012.0,117837.0,1.0,1.0,2.0,22.0,1685.3767374872696,126.0,5.0,0.0
560.0,3.0,2014.0,33496.0,4.0,1.0,0.0,18.0,1197.0,81.0,5.0,7.45
952.0,4.417862687307817,2016.0,35000.0,4.0,1.0,0.0,24.0,796.0,49.94353150841334,5.0,0.0
571.0,7.0,2014.0,25135.0,1.0,1.0,0.0,24.0,1120.0,70.0,5.0,0.0
1269.0,6.0,2009.0,80464.0,1.0,0.0,2.0,11.0,2987.0,198.0,5.0,0.0
1196.0,1.0,2006.0,52000.0,4.0,1.0,2.0,18.0,998.0,67.0,5.0,0.0
520.0,10.0,2017.0,25000.0,4.0,0.0,0.0,13.0,1591.0,121.0,5.0,0.0
1816.0,8.0,2013.0,63000.0,4.0,1.0,0.0,16.0,1198.0,74.0,5.0,0.0
859.0,7.0,2013.0,36000.0,1.0,1.0,0.0,17.0,1493.0,100.0,7.0,0.0
832.0,3.0,2012.0,60271.0,1.0,1.0,0.0,13.0,2523.0,63.0,7.0,0.0
1159.0,1.0,2018.0,30000.0,1.0,1.0,0.0,28.0,1248.0,74.0,5.0,0.0
1128.0,5.0,2016.0,54897.0,1.0,0.0,0.0,26.0,1248.0,74.0,5.0,0.0
1719.0,4.141528822047146,2012.0,225000.0,1.4780340755626895,1.0,2.0,23.0,1364.0,77.80149467297042,5.0,0.0
782.0,9.0,2013.0,75000.0,1.0,0.0,0.0,14.0,2993.0,270.0,5.0,0.0
1649.0,3.0,2018.0,9565.0,4.0,1.0,0.0,23.0,1199.0,84.0,5.0,6.59
1151.0,1.0,2013.4152903433403,32953.0,4.0,1.0,0.0,18.0,1197.0,76.7976688064507,5.020524090954581,0.0
1685.0,0.0,2008.0,78000.0,4.0,0.0,2.0,14.0,1794.0,138.0,5.0,0.0
1208.0,0.0,2015.0,55000.0,4.0,1.0,0.0,21.0,1197.0,81.0,5.0,5.88
564.0,7.0,2015.0,15305.0,4.0,1.0,0.0,18.0,1197.0,82.0,5.0,0.0
797.0,8.0,2013.0,65000.0,0.43600543049869245,0.0,2.0,11.0,2993.0,180.0,7.0,0.0
46.0,2.0,2015.0,28000.0,1.0,0.0,0.0,15.0,1968.0,174.0,5.0,0.0
1419.0,3.0,2015.0,69624.3539882712,1.0,0.0,0.0,16.0,2967.0,245.0,5.0,0.0
430.0,6.0,2019.0,5377.0,4.0,1.0,0.0,18.693701635570505,1497.0,116.0,5.0,0.0
8.0,6.0,2014.0,77395.0,1.0,0.0,0.0,17.0,1968.0,174.0,5.0,0.0
1731.0,4.0,2013.0,63455.0,1.0,1.0,0.0,11.0,2982.0,171.0,7.0,0.0
1440.0,4.0,2014.0,77500.0,1.0,1.0,0.0,20.0,1461.0,83.0,5.0,0.0
638.0,3.0,2012.0,54957.0,4.0,0.0,0.0,17.0,1591.0,121.0,5.0,0.0
958.0,3.0,2016.0,18043.0,4.0,1.0,0.0,22.0,796.0,47.0,5.0,0.0
1548.0,8.0,2014.0,65000.0,4.0,0.0,0.0,13.0,1798.0,138.29129431147567,5.0,0.0
